"Monsoon" "Upper cloud"
"Sapindus mukorossii Gaertn." 0 0
"Sapium discolor Muell.-Arg." 3 0
"Sapium sebiferum (L.) Roxb." 2 0
"Sarcandra glabra (Thunb.) Nakai" 11 0
"Sassafras randaiense (Hayata) Rehder" 0 3
"Saurauia tristyla DC. var. oldhamii (Hemsl.) Finet & Gagncp." 29 0
"Schefflera arboricola (Hayata) Kanehira" 0 0
"Schefflera octophylla (Lour.) Harms" 157 0
"Schefflera odorata (Blanco) Merr. & Rolfe" 4 0
"Schefflera taiwaniana (Nakai) Kanehira" 1 23
"Schima superba Gard. & Champ." 1 16
"Schizophragma integrifolium Oliv. var. fauriei (Hayata) Hayata" 0 1
"Schoepfia jasminodora Sieb. & Zucc." 0 1
"Scolopia oldhamii Hance" 0 0
"Sinoadina racemosa (Siebold & Zucc.) Ridsdale" 18 0
"Sinopanax formosana (Hayata) Li" 0 4
"Skimmia arisanensis Hayata" 0 5
"Skimmia reevesiana Fortune" 1 37
"Sloanea formosana Li" 33 0
"Smilax china L." 1 0
"Smilax lanceifolia Roxb." 1 0
"Smilax menispermoidea A. DC." 1 0
"Sorbus randaiensis (Hayata) Koidz." 0 3
"Stachyurus himalaicus Hook. f. & Thomson ex Benth." 0 5
"Stauntonia obovatifoliola Hayata" 1 2
"Stephanandra incisa (Thunb. ex Murray) Zabel" 0 0
"Styrax formosana Matsum." 47 4
"Styrax suberifolia Hook. & Arn." 33 0
"Swida controversa (Hemsl.) Soj?k" 0 1
"Swida controversa (Hemsl.) Sojak" 0 0
"Swida macrophylla (Wall.) Soj?k" 1 1
"Sycopsis sinensis Oliver" 1 39
"Symplocos arisanensis Hayata" 7 49
"Symplocos caudata Wall." 39 8
"Symplocos chinensis (Lour.) Druce" 6 0
"Symplocos congesta Benth." 1 4
"Symplocos eriostroma Hayata" 3 0
"Symplocos formosana Brand" 3 13
"Symplocos glauca (Thunb.) Koidz." 45 4
"Symplocos grandis Hand.-Mazz." 0 0
"Symplocos heishanensis Hayata" 2 40
"Symplocos konishii Hayata" 38 0
"Symplocos migoi Nagam." 17 55
"Symplocos modesta Brand" 5 1
