"upper_cloud" "lower_cloud" "lowland" "monsoon"
"Rhododendron pachysanthum Hayata" 402 0 0 0
"Rhododendron pseudochrysanthum Hayata" 197 0 0 53
"Rhododendron rubropilosum Hayata" 74 47 0 0
"Rhus javanica L. var. roxburghiana (DC.) Rehd. & Willson" 0 0 4 0
"Rhus succedanea L." 1 18 26 26
"Rubus formosensis Ktze." 0 3 0 0
"Rubus kawakamii Hayata" 3 2 0 0
"Rubus mesogaeus Focke" 0 0 0 1
"Sabia swinhoei Hemsl." 0 0 0 1
"Sabia transarisanensis Hayata" 0 3 0 0
"Sageretia thea (Osbeck) Johnst." 0 6 0 0
"Salix warburgii O. Seemen" 0 27 0 0
"Sapindus mukorossii Gaertn." 0 0 29 0
"Sapium discolor Muell.-Arg." 0 0 0 5
"Sapium sebiferum (L.) Roxb." 0 3 3 2
"Sarcandra glabra (Thunb.) Nakai" 0 4 1 152
"Sassafras randaiense (Hayata) Rehder" 14 3 0 0
"Saurauia tristyla DC. var. oldhamii (Hemsl.) Finet & Gagncp." 0 1 378 233
"Schefflera arboricola (Hayata) Kanehira" 0 0 8 0
"Schefflera octophylla (Lour.) Harms" 0 50 734 2307
"Schefflera odorata (Blanco) Merr. & Rolfe" 0 0 0 18
"Schefflera taiwaniana (Nakai) Kanehira" 284 0 0 1
"Schima superba Gard. & Champ." 81 231 0 1
"Schizophragma integrifolium Oliv. var. fauriei (Hayata) Hayata" 1 0 0 0
"Schoepfia jasminodora Sieb. & Zucc." 3 0 0 0
"Scolopia oldhamii Hance" 0 0 1 0
"Sinoadina racemosa (Siebold & Zucc.) Ridsdale" 0 0 92 155
"Sinopanax formosana (Hayata) Li" 11 5 0 0
"Skimmia arisanensis Hayata" 16 0 0 0
"Skimmia reevesiana Fortune" 321 51 0 2
"Sloanea formosana Li" 0 113 86 87
"Smilax china L." 0 0 0 1
"Smilax lanceifolia Roxb." 0 0 0 1
"Smilax menispermoidea A. DC." 0 0 0 1
"Sorbus randaiensis (Hayata) Koidz." 27 0 0 0
"Stachyurus himalaicus Hook. f. & Thomson ex Benth." 23 18 22 0
"Stauntonia obovatifoliola Hayata" 2 5 0 1
"Stephanandra incisa (Thunb. ex Murray) Zabel" 0 2 0 0
"Styrax formosana Matsum." 71 55 64 265
"Styrax suberifolia Hook. & Arn." 0 2 54 153
"Swida controversa (Hemsl.) Soj?k" 1 48 0 0
"Swida controversa (Hemsl.) Sojak" 0 8 0 0
"Swida macrophylla (Wall.) Soj?k" 1 0 1 1
"Sycopsis sinensis Oliver" 921 436 0 4
"Symplocos arisanensis Hayata" 276 147 4 32
"Symplocos caudata Wall." 57 31 6 312
"Symplocos chinensis (Lour.) Druce" 0 0 21 13
"Symplocos congesta Benth." 6 0 0 2
"Symplocos eriostroma Hayata" 0 10 0 10
"Symplocos formosana Brand" 165 1200 0 13
